doctor_id,hospital_id,doctor_name,speciality,experience_years,rating,doctor_fees
1,1,Dr. Mohit More,General Medicine,12,4.3,800
2,1,Dr. Sonal Swamy,Gynaecology,7,4.2,550
3,1,Dr. Rakesh Kulkarni,Dermatology,4,3.9,350
4,1,Dr. Kunal Vora,Gynaecology,8,4.1,650
5,1,Dr. Alok Joshi,Dermatology,9,4.1,650
6,2,Dr. Amit Shukla,Dermatology,6,4.5,600
7,2,Dr. Ranjana Gupta,Orthopedics,6,4.3,550
8,2,Dr. Anita Soni,Ophthalmology,3,3.5,250
9,2,Dr. Ritu Naik,Orthopedics,3,3.1,200
10,2,Dr. Ashok Tripathi,General Medicine,1,3.4,200
11,3,Dr. Rupal Joshi,Orthopedics,9,4.3,900
12,3,Dr. Rupal Raval,Orthopedics,39,4.6,2850
13,3,Dr. Meera Murthy,Gastroenterology,32,4.3,2400
14,3,Dr. Rohan Shah,ENT,5,4,600
15,3,Dr. Rupal Kothari,Gynaecology,18,4.7,1600
16,4,Dr. Rakesh Panchal,Cardiology,16,4.3,1000
17,4,Dr. Nidhi Soni,Gynaecology,24,4.9,1550
18,4,Dr. Alok Patel,Ophthalmology,18,4.1,1050
19,4,Dr. Suresh Swamy,General Medicine,5,3.8,350
20,4,Dr. Priya Yadav,Urology,37,4.3,1950
21,5,Dr. Neha Reddy,Oncology,3,3.1,200
22,5,Dr. Ritu Reddy,Gynaecology,14,4.5,1000
23,5,Dr. Meera Menon,Psychiatry,17,4.5,1150
24,5,Dr. Ashok Patel,Cardiology,35,4.9,2200
25,5,Dr. Suresh More,Cardiology,12,4.6,900
26,6,Dr. Amit Sharma,Oncology,28,4.6,1650
27,6,Dr. Nikhil Thakkar,Cardiology,39,4.6,2400
28,6,Dr. Vikram Venkat,Ophthalmology,5,3.6,350
29,6,Dr. Shilpa Gupta,General Medicine,3,3.7,250
30,6,Dr. Pankaj Mehta,Gastroenterology,12,4.2,900
31,7,Dr. Swati Deshpande,Gynaecology,19,4,1650
32,7,Dr. Sameer Vora,Urology,5,4.3,700
33,7,Dr. Swati Naik,General Medicine,18,4.6,1700
34,7,Dr. Sonal Phadke,Orthopedics,11,4.7,1300
35,7,Dr. Divya Deshpande,Gynaecology,1,3.9,300
36,8,Dr. Siddharth Patil,Pulmonology,3,3.7,200
37,8,Dr. Rahul Verma,General Medicine,1,3.3,200
38,8,Dr. Rahul Choudhary,General Medicine,15,4.2,750
39,8,Dr. Archana Joshi,Dermatology,19,4.1,750
40,8,Dr. Madhuri Yadav,Pediatrics,12,4.1,550
41,9,Dr. Rohan Swamy,Orthopedics,27,4.7,1750
42,9,Dr. Alok Shinde,Oncology,8,4.3,650
43,9,Dr. Kavita Yadav,Cardiology,16,4.1,1050
44,9,Dr. Rahul Modi,Cardiology,14,4.7,1050
45,9,Dr. Foram Deshpande,Dermatology,12,4.6,900
46,10,Dr. Mansi Kothari,Cardiology,4,3.4,250
47,10,Dr. Arjun Rao,Orthopedics,17,4.2,1100
48,10,Dr. Sunil Raval,Ophthalmology,8,4.1,600
49,10,Dr. Ritu Tripathi,ENT,14,4.6,950
50,10,Dr. Sameer Amin,Psychiatry,8,4.3,650
51,11,Dr. Nidhi Menon,Urology,23,4.4,1950
52,11,Dr. Sameer Naidu,Ophthalmology,2,3.3,250
53,11,Dr. Alok Barve,Urology,3,3.5,300
54,11,Dr. Anil Vora,Orthopedics,9,4,950
55,11,Dr. Arjun Shinde,Oncology,9,3.8,850
56,12,Dr. Vidya Pawar,Cardiology,25,4.5,1700
57,12,Dr. Rahul Majumdar,General Medicine,19,4.8,1300
58,12,Dr. Pooja Iyer,Orthopedics,2,3.5,200
59,12,Dr. Foram Thakkar,Neurology,14,4.5,950
60,12,Dr. Kunal Gandhi,ENT,12,4.1,800
61,13,Dr. Arjun Joshi,Orthopedics,4,4,300
62,13,Dr. Rakesh Venkat,ENT,1,3.5,200
63,13,Dr. Harsh Trivedi,Cardiology,4,3.8,250
64,13,Dr. Sameer Reddy,Psychiatry,16,4.1,800
65,13,Dr. Rajesh Kulkarni,Cardiology,7,3.6,350
66,14,Dr. Rupal Desai,General Medicine,2,3.2,200
67,14,Dr. Rohan Parikh,Urology,1,3.8,200
68,14,Dr. Vikram Rao,Orthopedics,20,4.2,1300
69,14,Dr. Archana Kothari,Cardiology,8,3.8,550
70,14,Dr. Sameer Dave,Neurology,16,4.8,1200
71,15,Dr. Ritu Vora,Gynaecology,6,4.2,700
72,15,Dr. Pallavi Patil,ENT,2,3.1,200
73,15,Dr. Nitin Gupta,Neurology,7,4.5,900
74,15,Dr. Manish Soni,Cardiology,4,3.4,400
75,15,Dr. Alok Desai,Orthopedics,22,4.8,1850
76,16,Dr. Vikram Rao,Neurology,5,3.6,250
77,16,Dr. Vikram Dave,General Medicine,2,3.2,200
78,16,Dr. Rahul Reddy,General Medicine,9,3.7,350
79,16,Dr. Pooja Amin,Ophthalmology,5,4,350
80,16,Dr. Sameer Pandya,Orthopedics,18,4.7,800
81,17,Dr. Rohan Dubey,Pediatrics,8,4.3,500
82,17,Dr. Shilpa Vora,General Medicine,2,3.4,200
83,17,Dr. Karthik Jadhav,Neurology,5,3.8,300
84,17,Dr. Sunil Thakur,Gastroenterology,3,3.5,200
85,17,Dr. Mohit Rao,General Medicine,9,4.3,500
86,18,Dr. Rahul More,Nephrology,11,4.3,850
87,18,Dr. Pankaj Dave,Orthopedics,14,4.4,1000
88,18,Dr. Shilpa Menon,Gynaecology,10,4.8,850
89,18,Dr. Mohit Kumar,Pediatrics,32,4.9,2000
90,18,Dr. Mohit Kulkarni,Ophthalmology,7,3.6,500
91,19,Dr. Ranjana Phadke,Urology,13,4.5,1150
92,19,Dr. Kunal Pawar,Pulmonology,4,3.9,450
93,19,Dr. Mohit Prajapati,General Medicine,20,4.6,1600
94,19,Dr. Ritu Rao,Pediatrics,19,4,1550
95,19,Dr. Vidya Murthy,Orthopedics,1,4,350
96,20,Dr. Vidya Venkat,Neurology,2,3.8,300
