hospital_id,hospital_name,city,tier,speciality,rating,nabh_accredited,type,cost_index,pincode,latitude,longitude
1,Metro Cardiology Hospital,Mumbai,Tier-1,Cardiology,3.4,TRUE,medium,0.432,400093,18.941497,72.903833
2,Sahyadri Gastroenterology Super Speciality Hospital,Mumbai,Tier-1,Gastroenterology,3.5,FALSE,medium,0.404,400005,18.931522,72.860996
3,Mumbai Gynaecology Clinic,Mumbai,Tier-1,Gynaecology,4.6,TRUE,high,0.927,400050,19.129021,72.82055
4,Poona Dermatology Medical Center,Mumbai,Tier-1,Dermatology,3.7,FALSE,medium,0.576,400101,18.984372,72.85468
5,Mumbai Cardiology Healthcare,Mumbai,Tier-1,Cardiology,3.7,FALSE,medium,0.55,400070,18.96411,72.946335
6,National Dermatology Institute,Mumbai,Tier-1,Dermatology,4.2,FALSE,medium,0.63,400020,19.045058,72.886085
7,Mumbai Orthopedics Clinic,Mumbai,Tier-1,Orthopedics,4.6,TRUE,high,0.877,400005,18.946337,72.918124
8,Metro ENT Clinic,Mumbai,Tier-1,ENT,3.3,FALSE,low,0.068,400002,19.096755,72.894675
9,Care General Medicine Clinic,Mumbai,Tier-1,General Medicine,3.8,FALSE,medium,0.667,400002,18.928405,72.813763
10,Care Ophthalmology Medical Center,Mumbai,Tier-1,Ophthalmology,3.9,TRUE,medium,0.412,400101,19.167271,72.8193
11,City Pulmonology Medical Center,Mumbai,Tier-1,Pulmonology,4.2,TRUE,high,0.739,400002,19.181883,72.862675
12,Sri Pediatrics Hospital,Mumbai,Tier-1,Pediatrics,3.8,TRUE,medium,0.67,400002,19.128434,72.936663
13,Metro Urology Super Speciality Hospital,Mumbai,Tier-1,Urology,3.5,FALSE,low,0.281,400050,19.016334,72.809093
14,Kamineni Dermatology Clinic,Mumbai,Tier-1,Dermatology,4,FALSE,medium,0.501,400101,19.007994,72.910977
15,Ruby Dermatology Institute,Mumbai,Tier-1,Dermatology,4.4,TRUE,high,0.912,400002,19.131056,72.849221
16,Sterling Ophthalmology Institute,Mumbai,Tier-1,Ophthalmology,3.5,FALSE,low,0.347,400001,18.935704,72.866322
17,Global Gynaecology Institute,Mumbai,Tier-1,Gynaecology,3,FALSE,low,0.088,400101,19.121885,72.878854
18,Continental General Medicine Medical Center,Mumbai,Tier-1,General Medicine,3.6,FALSE,medium,0.408,400020,19.123457,72.815552
19,Mumbai Gynaecology Healthcare,Mumbai,Tier-1,Gynaecology,4.4,TRUE,high,0.806,400070,18.984053,72.864211
20,Continental General Medicine Medical Center,Mumbai,Tier-1,General Medicine,4.1,FALSE,medium,0.655,400001,19.017885,72.876748
21,Mumbai Orthopedics Healthcare,Mumbai,Tier-1,Orthopedics,4.5,TRUE,high,0.831,400002,19.073762,72.88666
22,Global Ophthalmology Super Speciality Hospital,Mumbai,Tier-1,Ophthalmology,4.3,TRUE,high,0.838,400005,19.093361,72.897965
23,Unity Neurology Hospital,Mumbai,Tier-1,Neurology,3.5,FALSE,medium,0.514,400005,19.051706,72.8417
24,City General Medicine Hospital,Mumbai,Tier-1,General Medicine,4.3,TRUE,high,0.737,400002,18.981345,72.909301
25,Poona Ophthalmology Hospital,Mumbai,Tier-1,Ophthalmology,4,TRUE,medium,0.55,400101,18.917287,72.944789
26,SAL Gynaecology Super Speciality Hospital,Mumbai,Tier-1,Gynaecology,4.5,TRUE,high,0.915,400101,18.978042,72.854924
27,Mumbai Gastroenterology Clinic,Mumbai,Tier-1,Gastroenterology,3.7,FALSE,medium,0.627,400070,19.127309,72.809267
28,Ruby Dermatology Institute,Mumbai,Tier-1,Dermatology,3.5,TRUE,medium,0.547,400101,18.971903,72.845102
29,KIMS ENT Medical Center,Mumbai,Tier-1,ENT,3.8,TRUE,medium,0.413,400020,18.99639,72.935446
30,City Gynaecology Medical Center,Mumbai,Tier-1,Gynaecology,4.2,TRUE,high,0.879,400002,19.044973,72.907594
31,SAL Gynaecology Clinic,Mumbai,Tier-1,Gynaecology,4.4,TRUE,high,0.838,400002,18.925222,72.818876
32,Mumbai Urology Healthcare,Mumbai,Tier-1,Urology,4.2,TRUE,high,0.734,400070,19.105584,72.833857
33,Sahyadri General Medicine Super Speciality Hospital,Mumbai,Tier-1,General Medicine,4.7,TRUE,high,0.969,400050,19.086929,72.923011
34,Mumbai General Medicine Hospital,Mumbai,Tier-1,General Medicine,4,TRUE,medium,0.647,400101,18.916148,72.817379
35,Care Ophthalmology Super Speciality Hospital,Mumbai,Tier-1,Ophthalmology,4.1,FALSE,high,0.823,400050,19.178278,72.906721
36,Rainbow Orthopedics Super Speciality Hospital,Mumbai,Tier-1,Orthopedics,3.9,FALSE,medium,0.506,400001,19.130516,72.893622
37,Prime General Medicine Super Speciality Hospital,Mumbai,Tier-1,General Medicine,4.4,TRUE,high,0.952,400005,19.061343,72.898469
38,Sahyadri Pediatrics Hospital,Mumbai,Tier-1,Pediatrics,4.7,TRUE,high,0.965,400005,18.911931,72.898581
39,Ruby Orthopedics Medical Center,Mumbai,Tier-1,Orthopedics,3.8,TRUE,medium,0.496,400020,18.974361,72.926405
40,Mumbai Neurology Super Speciality Hospital,Mumbai,Tier-1,Neurology,4.4,TRUE,high,0.823,400093,18.938758,72.920787
41,Sahyadri General Medicine Hospital,Mumbai,Tier-1,General Medicine,4.2,TRUE,high,0.865,400005,18.969659,72.82027
42,Fortis Gastroenterology Medical Center,Mumbai,Tier-1,Gastroenterology,4.5,TRUE,high,0.812,400101,19.003581,72.861073
43,Mumbai Pediatrics Hospital,Mumbai,Tier-1,Pediatrics,3.6,FALSE,low,0.371,400050,19.181048,72.803646
44,Ruby General Medicine Healthcare,Mumbai,Tier-1,General Medicine,4.2,TRUE,medium,0.603,400020,19.122976,72.807646
45,Kamineni Orthopedics Hospital,Mumbai,Tier-1,Orthopedics,3.2,FALSE,low,0.109,400093,18.977269,72.813192
46,City Orthopedics Institute,Mumbai,Tier-1,Orthopedics,3.8,TRUE,medium,0.608,400070,19.11086,72.931927
47,Care Dermatology Hospital,Mumbai,Tier-1,Dermatology,4.2,TRUE,medium,0.618,400002,19.03197,72.861781
48,Unity Gastroenterology Clinic,Mumbai,Tier-1,Gastroenterology,3.1,FALSE,low,0.027,400005,19.125717,72.826754
49,Poona Nephrology Institute,Mumbai,Tier-1,Nephrology,3.3,FALSE,low,0.256,400005,19.068636,72.805627
50,Ruby Cardiology Hospital,Mumbai,Tier-1,Cardiology,3.8,FALSE,medium,0.402,400050,19.156884,72.885053
51,Global Cardiology Institute,Mumbai,Tier-1,Cardiology,3.8,TRUE,medium,0.567,400020,19.080573,72.921805
52,Mumbai Nephrology Medical Center,Mumbai,Tier-1,Nephrology,3.4,FALSE,low,0.255,400050,18.926066,72.900273
53,Mumbai Psychiatry Medical Center,Mumbai,Tier-1,Psychiatry,3,FALSE,low,0.047,400002,18.923374,72.926847
54,Continental Urology Hospital,Mumbai,Tier-1,Urology,4,TRUE,high,0.725,400093,19.172925,72.873051
55,City Pulmonology Hospital,Mumbai,Tier-1,Pulmonology,4,FALSE,medium,0.584,400070,18.941612,72.899831
56,Apollo ENT Hospital,Mumbai,Tier-1,ENT,4,TRUE,high,0.711,400005,19.162935,72.891859
57,Continental Cardiology Clinic,Mumbai,Tier-1,Cardiology,3.9,TRUE,medium,0.501,400070,18.989692,72.943693
58,Apollo Pediatrics Institute,Mumbai,Tier-1,Pediatrics,3.3,FALSE,low,0.015,400005,19.153631,72.906619
59,Deenanath Ophthalmology Institute,Mumbai,Tier-1,Ophthalmology,4.2,TRUE,high,0.755,400070,19.191367,72.809952
60,Mumbai General Medicine Medical Center,Mumbai,Tier-1,General Medicine,4.2,FALSE,high,0.75,400002,19.191755,72.823694
61,Poona Urology Clinic,Mumbai,Tier-1,Urology,3.1,TRUE,low,0.024,400005,18.976844,72.938493
62,Mumbai Ophthalmology Institute,Mumbai,Tier-1,Ophthalmology,3.9,FALSE,medium,0.501,400002,19.027507,72.868059
63,Mumbai Nephrology Clinic,Mumbai,Tier-1,Nephrology,3,FALSE,low,0.147,400070,19.083662,72.86278
64,Fortis ENT Clinic,Mumbai,Tier-1,ENT,4.2,TRUE,high,0.901,400070,18.985723,72.852593
65,Mumbai Psychiatry Institute,Mumbai,Tier-1,Psychiatry,3.5,FALSE,medium,0.441,400070,19.17145,72.805188
66,Mumbai Dermatology Hospital,Mumbai,Tier-1,Dermatology,3.7,FALSE,medium,0.529,400070,19.053396,72.896698
67,Care Neurology Institute,Mumbai,Tier-1,Neurology,4.1,TRUE,high,0.798,400001,19.047475,72.933164
68,Care Orthopedics Institute,Mumbai,Tier-1,Orthopedics,4.3,TRUE,high,0.916,400050,19.037888,72.945699
69,Mumbai Gastroenterology Healthcare,Mumbai,Tier-1,Gastroenterology,4.6,TRUE,high,0.975,400101,18.969857,72.870933
70,City Orthopedics Medical Center,Mumbai,Tier-1,Orthopedics,3.5,TRUE,medium,0.447,400101,18.919239,72.828257
71,Unity Pediatrics Clinic,Mumbai,Tier-1,Pediatrics,4.5,TRUE,high,0.887,400001,19.076705,72.923065
72,Mumbai Neurology Hospital,Mumbai,Tier-1,Neurology,4.3,TRUE,high,0.745,400070,18.993536,72.833622
73,Poona Pediatrics Clinic,Mumbai,Tier-1,Pediatrics,3,FALSE,low,0.091,400101,19.120889,72.862519
74,Care Neurology Medical Center,Mumbai,Tier-1,Neurology,4.3,FALSE,high,0.946,400070,19.163599,72.880043
